time,seconds_elapsed,z,y,x
1740578186590878200,0.223878173828125,-0.8558916449546814,-0.08507668972015381,0.07237205654382706
1740578186702837500,0.33583740234375,-0.8558042049407959,-0.08506416529417038,0.07238677889108658
1740578186799087400,0.43208740234375,-0.8558714985847473,-0.08555809408426285,0.07210192829370499
1740578186895337500,0.52833740234375,-0.856650710105896,-0.08568727970123291,0.07172474265098572
1740578186991587600,0.624587646484375,-0.858305037021637,-0.08570718765258789,0.07140108942985535
1740578187087837400,0.72083740234375,-0.8622462749481201,-0.08528517931699753,0.0713098794221878
1740578187184087600,0.817087646484375,-0.8755913376808167,-0.0859646424651146,0.06939372420310974
1740578187280337400,0.91333740234375,-0.8551384806632996,-0.0795619785785675,0.08799076825380325
1740578187376587500,1.00958740234375,-0.8491237759590149,-0.09139487147331238,0.06753572821617126
1740578187472837400,1.10583740234375,-0.8740304708480835,-0.07713358849287033,0.042130399495363235
1740578187569087500,1.20208740234375,-0.9400802850723267,-0.07476548105478287,-0.008993944153189659
1740578187665337600,1.298337646484375,-0.9644206762313843,-0.08160389959812164,-0.024456201121211052
1740578187761587500,1.39458740234375,-0.9549326300621033,-0.07986842095851898,0.0045240046456456184
1740578187857837600,1.490837646484375,-0.9272615909576416,-0.07982193678617477,0.04923499748110771
1740578187954087400,1.58708740234375,-0.8913285732269287,-0.08703005313873291,0.08548954129219055
1740578188050337500,1.683337646484375,-0.8967500925064087,-0.08803956210613251,0.0822330117225647
1740578188146587400,1.77958740234375,-0.8925466537475586,-0.09469741582870483,0.08030196279287338
1740578188242837500,1.87583740234375,-0.879366934299469,-0.09326308220624924,0.08751732856035233
1740578188339087400,1.97208740234375,-0.8594204783439636,-0.08710313588380814,0.10191690921783447
1740578188435337500,2.06833740234375,-0.8404871821403503,-0.07834623008966446,0.1219380721449852
1740578188531587600,2.164587646484375,-0.8335897922515869,-0.07291771471500397,0.13903740048408508
1740578188627837400,2.26083740234375,-0.8069905638694763,-0.06729232519865036,0.1715283989906311
1740578188724087600,2.357087646484375,-0.7772727608680725,-0.05269034579396248,0.21189844608306885
1740578188820337400,2.45333740234375,-0.8424715995788574,-0.07774090021848679,0.20404307544231415
1740578188916587500,2.54958740234375,-0.8075467348098755,-0.0610077865421772,0.2519398629665375
1740578189012837400,2.64583740234375,-0.7781805396080017,-0.058882009238004684,0.2750605642795563
1740578189109087500,2.74208740234375,-0.8701999187469482,-0.08834164589643478,0.2726713716983795
1740578189205337600,2.838337646484375,-0.8676664233207703,-0.08235246688127518,0.3035813868045807
1740578189397837600,3.030837646484375,-0.8500191569328308,-0.07884619385004044,0.3667261600494385
1740578189494087400,3.12708740234375,-0.8594835996627808,-0.09784199297428131,0.3783334195613861
1740578189590337500,3.223337646484375,-0.875312328338623,-0.11633264273405075,0.3805219829082489
1740578189686587400,3.31958740234375,-0.866874635219574,-0.1072448268532753,0.4032086730003357
1740578189782837500,3.41583740234375,-0.8406391739845276,-0.08287360519170761,0.4394504427909851
1740578189879087400,3.51208740234375,-0.8108130693435669,-0.07107995450496674,0.46985924243927
1740578189975337500,3.60833740234375,-0.7900587916374207,-0.0713488981127739,0.48231565952301025
1740578190071587600,3.704587646484375,-0.8287167549133301,-0.11634869128465652,0.45739394426345825
1740578190167837400,3.80083740234375,-0.8246116042137146,-0.11466813832521439,0.46072331070899963
1740578190360337400,3.99333740234375,-0.7876186370849609,-0.07459525763988495,0.48895448446273804
1740578190456587500,4.08958740234375,-0.81844562292099,-0.09409364312887192,0.47088882327079773
1740578190552837400,4.18583740234375,-0.8484501242637634,-0.12794724106788635,0.43582865595817566
1740578190649087500,4.28208740234375,-0.8964778184890747,-0.14306171238422394,0.37964296340942383
1740578190745337600,4.378337646484375,-0.90998774766922,-0.16252653300762177,0.3446056842803955
1740578190841587500,4.47458740234375,-0.8927567005157471,-0.12741367518901825,0.36176326870918274
1740578190937837600,4.570837646484375,-0.8667566180229187,-0.08592727780342102,0.3805660009384155
1740578191034087400,4.66708740234375,-0.8281679153442383,-0.06769729405641556,0.3898042142391205
1740578191130337500,4.763337646484375,-0.8033208250999451,-0.056962866336107254,0.3890736699104309
1740578191322837500,4.95583740234375,-0.7983138561248779,-0.044335510581731796,0.3670598566532135
1740578191419087400,5.05208740234375,-0.8258645534515381,-0.05500342696905136,0.34558233618736267
1740578191515337500,5.14833740234375,-0.7919409275054932,-0.02104613184928894,0.36355727910995483
1740578191611587600,5.244587646484375,-0.7511537075042725,0.010226214304566383,0.3770740330219269
1740578191707837400,5.34083740234375,-0.6686376929283142,0.05204063281416893,0.3972506523132324
1740578191804087600,5.437087646484375,-0.7022582292556763,0.023312272503972054,0.3475196957588196
1740578191900337400,5.53333740234375,-0.7212840914726257,-0.0013942545047029853,0.30539846420288086
1740578191996587500,5.62958740234375,-0.7286289930343628,-0.02668573148548603,0.263915479183197
1740578192092837400,5.72583740234375,-0.6922187209129333,-0.045255664736032486,0.24168060719966888
1740578192189087500,5.82208740234375,-0.6487279534339905,-0.043768495321273804,0.24191956222057343
1740578192285337600,5.918337646484375,-0.6442013382911682,-0.04851404204964638,0.22015754878520966
1740578192381587500,6.01458740234375,-0.6559305191040039,-0.056959863752126694,0.1929052472114563
1740578192477837600,6.110837646484375,-0.6520300507545471,-0.05992917716503143,0.18222713470458984
1740578192574087400,6.20708740234375,-0.6731189489364624,-0.06527550518512726,0.16058707237243652
1740578192670337500,6.303337646484375,-0.6826059222221375,-0.07010122388601303,0.1438547521829605
1740578192766587400,6.39958740234375,-0.6726265549659729,-0.08098549395799637,0.1283758133649826
