time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1740578187167423500,0.800423583984375,45,0.3252691328525543,1.6823859214782715,6.218999862670898,0.23982051014900208,196.63783264160156,-4.400000095367432,-73.9759711,40.7763681
1740578187942338000,1.575338134765625,45,0.27586227655410767,1.7371959686279297,5.7270002365112305,0.27599668502807617,189.83790588378906,-4.400000095367432,-73.9759702,40.7763642
1740578188941487000,2.574487060546875,45,0.0860232561826706,1.6908663511276245,5.263000011444092,0.26187971234321594,191.07199096679688,-4.400000095367432,-73.9759709,40.7763625
1740578189942041000,3.575041015625,85.8669204711914,1.1387712955474854,1.7744895219802856,4.939000129699707,0.3214549422264099,224.1434783935547,-4.100000381469727,-73.9759725,40.7763605
1740578190942041900,4.575041748046875,86.70453643798828,1.5340468883514404,1.7780029773712158,4.730000019073486,0.3838850259780884,223.70169067382812,-4.100000381469727,-73.975968,40.7763507
1740578191621506000,5.254506103515625,103.43551635742188,0.17634087800979614,1.7780029773712158,4.642000198364258,0.16215138137340546,121.52565002441406,-4.100000381469727,-73.9759727,40.7763679
1740578191941485800,5.57448583984375,0,0.12424661964178085,1.741795301437378,4.559000015258789,0.09106559306383133,0,-4.100000381469727,-73.9759726,40.7763725
1740578192941960000,6.5749599609375,0,0.10131464898586273,2.029287338256836,4.230000019073486,0.06436973810195923,0,-4.100000381469727,-73.9759728,40.7763782
1740578193941218300,7.57421826171875,0,0.0860232561826706,2.0357825756073,4.048999786376953,0.06467179208993912,0,-4.100000381469727,-73.9759572,40.7763737
1740578194942007000,8.575007080078125,0,0.0860232561826706,1.9176369905471802,3.9609999656677246,0.06714610010385513,0,-4.100000381469727,-73.9759527,40.7763691
1740578195942118400,9.575118408203124,0,0.0860232561826706,1.8833025693893433,3.941999912261963,0.08247022330760956,0,-4.100000381469727,-73.9759478,40.7763675
1740578196941686500,10.5746865234375,0,0.1140175461769104,1.9636855125427246,3.8350000381469727,0.06875991821289062,0,-4.100000381469727,-73.975949,40.7763669
1740578197941693700,11.574693603515625,0,0.0860232561826706,1.8962998390197754,3.828000068664551,0.09257032722234726,0,-4.100000381469727,-73.9759461,40.7763702
1740578198941992700,12.57499267578125,0,0.3753664791584015,2.067554473876953,3.7899999618530273,0.08827784657478333,0,-4.100000381469727,-73.9759459,40.776371
1740578199941236000,13.574236083984376,0,0.574282169342041,2.126373529434204,3.7899999618530273,0.07716202735900879,0,-4.100000381469727,-73.9759454,40.77637
1740578200941943800,14.57494384765625,0,0.35805028676986694,2.1028025150299072,3.809999942779541,0.06693901121616364,0,-4.100000381469727,-73.9759452,40.776368
1740578201941554700,15.5745546875,0,0.2555386424064636,2.1789357662200928,3.9000000953674316,0.06157436594367027,0,-4.100000381469727,-73.9759452,40.7763671
1740578202941795000,16.574795166015626,0,0.5990826487541199,2.2295193672180176,4.085999965667725,0.04313305392861366,0,-4.100000381469727,-73.9759457,40.7763679
1740578203941202000,17.574201904296874,0,0.40816664695739746,2.236015558242798,4.201000213623047,0.030845900997519493,0,-4.100000381469727,-73.9759462,40.776368
1740578204941479000,18.57447900390625,0,0.6860029101371765,2.2452895641326904,4.564000129699707,0.02530576102435589,0,-4.100000381469727,-73.9759463,40.7763683
1740578205079757600,18.712757568359375,55.36946487426758,0.12437139451503754,2.2452895641326904,4.531000137329102,0.1178625226020813,331.9732360839844,-4.100000381469727,-73.9759502,40.776372
1740578205943596500,19.576596435546875,51.84220504760742,0.13312284648418427,2.269134759902954,4.629000186920166,0.10914459824562073,15.040081024169922,-4.100000381469727,-73.9759523,40.7763747
1740578206945330700,20.57833056640625,53.58672332763672,0.1321583390235901,2.275630235671997,4.618000030517578,0.10752406716346741,73.44657135009766,-4.100000381469727,-73.9759509,40.7763753
1740578207947065000,21.580065185546875,57.458072662353516,0.12950262427330017,2.4472873210906982,4.651000022888184,0.12117821723222733,76.19572448730469,-4.100000381469727,-73.9759493,40.7763751
1740578208183350800,21.816350830078125,55.42497253417969,0.12163681536912918,2.4472873210906982,4.619999885559082,0.11278924345970154,71.3746566772461,-4.100000381469727,-73.9759487,40.7763748
1740578208593124600,22.22612451171875,55.28813552856445,0.1507849246263504,2.4472873210906982,4.605000019073486,0.1426479071378708,59.07300567626953,-4.100000381469727,-73.9759481,40.7763746
1740578208941246000,22.574245849609376,51.79297637939453,0.14892718195915222,2.4553120136260986,4.564000129699707,0.1335461288690567,51.68494415283203,-4.100000381469727,-73.9759474,40.7763746
1740578209693318400,23.326318359375,51.09580993652344,0.16734547913074493,2.4553120136260986,4.567999839782715,0.15367770195007324,54.35921096801758,-4.100000381469727,-73.9759468,40.7763749
1740578209798037800,23.431037841796876,0,0.16278821229934692,2.1990747451782227,4.556000232696533,0.07945411652326584,0,-4.100000381469727,-73.9759451,40.7763736
1740578209941558800,23.574558837890624,0,0.12584033608436584,2.1998181343078613,4.460999965667725,0.05954381451010704,0,-4.100000381469727,-73.9759459,40.7763729
1740578210174062300,23.807062255859375,0,0.12584033608436584,2.1998181343078613,4.449999809265137,0.059380125254392624,0,-4.100000381469727,-73.975946,40.7763729
1740578210783246000,24.41624609375,48.674102783203125,0.17065086960792542,2.1998181343078613,4.448999881744385,0.1420249193906784,67.20651245117188,-4.100000381469727,-73.9759459,40.7763728
1740578210942139000,24.575138916015625,0,0.10350630432367325,2.1208813190460205,4.415999889373779,0.039272818714380264,0,-4.100000381469727,-73.9759452,40.7763719
1740578211219507500,24.852507568359375,0,0.10350630432367325,2.1208813190460205,4.392000198364258,0.032734308391809464,0,-4.100000381469727,-73.975945,40.7763714
1740578211941700900,25.574700927734376,0,0.08736161887645721,2.127378463745117,4.361999988555908,0.02352341078221798,0,-2.4138134849415422,-73.975945,40.7763711
1740578212198210000,25.8312099609375,0,0.08736161887645721,2.127378463745117,4.348999977111816,0.023412782698869705,0,-2.4138134849415422,-73.975945,40.776371
1740578212860229400,26.4932294921875,0,0.1468600630760193,2.127378463745117,4.335000038146973,0.03890155255794525,0,-2.4138134849415422,-73.9759443,40.7763708
1740578212942054700,26.5750546875,0,0.09317876398563385,2.1356496810913086,4.296000003814697,0.023142442107200623,0,-2.4565214800749615,-73.9759444,40.7763706
1740578213182233600,26.815233642578125,0,0.09317876398563385,2.1356496810913086,4.2789998054504395,0.02167678251862526,0,-2.4565214800749615,-73.9759444,40.7763705
1740578213941426000,27.574426025390625,0,0.10429984331130981,2.155156373977661,4.239999771118164,0.030571646988391876,0,-4.100000381469727,-73.9759453,40.776371
1740578214152521200,27.785521240234374,0,0.10429984331130981,2.155156373977661,4.23199987411499,0.02707965485751629,0,-4.100000381469727,-73.9759457,40.7763709
1740578214658689800,28.291689697265625,0,0.12463229894638062,1.9964097738265991,4.232999801635742,0.04806004837155342,0,-4.100000381469727,-73.9759458,40.7763709
1740578214816137500,28.449137451171875,40.99831008911133,0.32679498195648193,1.9964097738265991,4.245999813079834,0.12631414830684662,85.82978820800781,-4.100000381469727,-73.97594,40.7763703
1740578214941260300,28.57426025390625,0,0.12367561459541321,1.9835584163665771,4.23799991607666,0.04458283632993698,0,-4.100000381469727,-73.9759417,40.7763697
1740578215139185000,28.772184814453126,0,0.12367561459541321,1.9835584163665771,4.230999946594238,0.03836629539728165,0,-4.100000381469727,-73.9759425,40.7763693
1740578215840593200,29.47359326171875,39.06267166137695,0.3798685669898987,1.9835584163665771,4.269999980926514,0.1349952071905136,95.34596252441406,-4.100000381469727,-73.9759414,40.77637
1740578215941261000,29.574260986328124,0,0.1345655620098114,1.9658372402191162,4.260000228881836,0.04919927939772606,0,-4.100000381469727,-73.9759434,40.7763695
1740578216114571300,29.7475712890625,0,0.1345655620098114,1.9658372402191162,4.258999824523926,0.04152033105492592,0,-4.100000381469727,-73.9759444,40.7763693
1740578216756005400,30.38900537109375,0,0.15688759088516235,1.9658372402191162,4.264999866485596,0.09315197169780731,0,-4.100000381469727,-73.9759448,40.7763692
1740578216941670000,30.574669921875,0,0.10912081599235535,1.9723399877548218,4.248000144958496,0.03377874940633774,0,-4.100000381469727,-73.9759453,40.7763685
1740578217076710700,30.709710693359376,0,0.10912081599235535,1.9723399877548218,4.236000061035156,0.029670346528291702,0,-4.100000381469727,-73.9759456,40.7763682
1740578217744733700,31.377733642578125,0,0.13312384486198425,1.9723399877548218,4.228000164031982,0.07923130691051483,0,-4.100000381469727,-73.9759454,40.7763679
1740578217942057500,31.575057373046874,9.634950637817383,0.29003891348838806,2.0202107429504395,4.186999797821045,0.9184761643409729,101.89723205566406,-4.100000381469727,-73.9759328,40.7763708
1740578218042000100,31.675000244140627,9.534721374511719,0.2981991469860077,2.0202107429504395,4.139999866485596,1.1939760446548462,101.93470764160156,-4.100000381469727,-73.9759265,40.7763718
1740578218660530200,32.2935302734375,7.092649459838867,0.3294711410999298,2.0202107429504395,4.119999885559082,1.3591461181640625,104.03302764892578,-4.100000381469727,-73.9759118,40.7763712
1740578218941687800,32.574687744140626,5.865451335906982,0.20233578979969025,2.054051160812378,4.035999774932861,1.5502451658248901,108.9697265625,-4.100000381469727,-73.9759041,40.7763707
1740578218999971300,32.63297143554688,5.792365550994873,0.2004222869873047,2.054051160812378,3.9730000495910645,1.5719141960144043,109.82450866699219,-4.100000381469727,-73.9759021,40.7763707
1740578219682502100,33.31550219726562,6.453053951263428,0.24477797746658325,2.054051160812378,3.924999952316284,1.5889692306518555,113.14200592041016,-4.100000381469727,-73.975888,40.7763672
1740578219798037800,33.43103784179687,7.178793430328369,0.20556609332561493,1.9943947792053223,3.8940000534057617,1.6291826963424683,113.98047637939453,-4,-73.9758832,40.7763667
1740578219942051600,33.57505151367187,6.275248050689697,0.1898631900548935,1.8863166570663452,3.8259999752044678,1.674870252609253,116.64179229736328,-4,-73.9758735,40.7763592
1740578219990981400,33.6239814453125,6.2219133377075195,0.1898631900548935,1.8863166570663452,3.8340001106262207,1.6755480766296387,116.78731536865234,-4,-73.9758757,40.7763595
1740578220696472600,34.32947265625,6.411707401275635,0.23234803974628448,1.8863166570663452,3.819999933242798,1.687633752822876,116.66403198242188,-4,-73.9758637,40.7763559
1740578220941816800,34.57481689453125,7.015381813049316,0.18864880502223969,1.8711644411087036,3.7709999084472656,1.5528020858764648,118.53031158447266,-4,-73.9758612,40.776352
1740578220993591600,34.626591552734375,6.9831156730651855,0.18636970221996307,1.8711644411087036,3.815999984741211,1.5405256748199463,118.50419616699219,-4,-73.9758608,40.776351
1740578221655606000,35.28860595703125,8.682377815246582,0.2356564998626709,1.8711644411087036,3.859999895095825,1.5354487895965576,116.68424987792969,-4,-73.9758494,40.7763456
1740578221941360400,35.5743603515625,9.157763481140137,0.1895059049129486,1.8835644721984863,3.9159998893737793,1.4990906715393066,116.76888275146484,-4,-73.9758449,40.7763412
1740578221975357200,35.608357177734376,9.157763481140137,0.1895059049129486,1.8835644721984863,3.98799991607666,1.4952571392059326,116.76473236083984,-4,-73.9758444,40.7763401
1740578222657607700,36.290607666015624,9.097709655761719,0.23659664392471313,1.8835644721984863,4.13100004196167,1.4879995584487915,116.06831359863281,-4,-73.9758331,40.7763337
1740578223618981000,37.25198120117187,9.456674575805664,0.2270796000957489,1.893870234489441,4.474999904632568,1.5030776262283325,120.55675506591797,-4,-73.9758174,40.77632
1740578223919254500,37.552254638671876,9.934924125671387,0.1834784299135208,1.893870234489441,4.6529998779296875,1.5627163648605347,121.10574340820312,-4,-73.9758121,40.7763151
1740578223941731600,37.574731689453124,9.456154823303223,0.17080944776535034,1.8808003664016724,4.85099983215332,1.5664491653442383,122.37599182128906,-4,-73.9758126,40.7763102
1740578224579667200,38.21266723632812,9.51148509979248,0.23009896278381348,1.8808003664016724,5.071000099182129,1.5708775520324707,123.52349090576172,-4,-73.9758033,40.7762987
1740578224900243700,38.53324365234375,9.671209335327148,0.19374717772006989,1.8808003664016724,5.2769999504089355,1.6059552431106567,122.99805450439453,-4,-73.9757974,40.7762934
1740578224941323500,38.574323486328126,9.209092140197754,0.17743423581123352,1.8872977495193481,5.308000087738037,1.612857460975647,123.886962890625,-4,-73.9757974,40.7762878
1740578225561505300,39.19450537109375,9.405755043029785,0.21674954891204834,1.8872977495193481,5.52400016784668,1.6250308752059937,124.76131439208984,-4,-73.9757878,40.7762767
1740578225853704400,39.486704345703124,9.5007905960083,0.1945696473121643,1.8872977495193481,5.6620001792907715,1.6117329597473145,124.73611450195312,-4,-73.9757827,40.7762721
1740578225941385200,39.57438525390625,9.187371253967285,0.17782285809516907,2.0090935230255127,5.632999897003174,1.6017173528671265,125.57862091064453,-4,-73.9757818,40.7762667
1740578226556210700,40.18921069335938,9.393176078796387,0.23599359393119812,2.0090935230255127,5.752999782562256,1.601182460784912,124.86646270751953,-4,-73.9757722,40.7762562
1740578226862145000,40.49514501953125,9.558216094970703,0.1852189004421234,2.0090935230255127,5.790999889373779,1.5997898578643799,123.1480941772461,-4,-73.975767,40.7762518
1740578226941799200,40.57479907226563,9.168492317199707,0.17370358109474182,1.8945591449737549,5.770999908447266,1.594577431678772,122.96776580810547,-4,-73.9757652,40.7762479
1740578227080174600,40.713174560546875,9.311925888061523,0.17382514476776123,1.8186678886413574,5.711999893188477,1.590598464012146,121.72697448730469,-4.100000381469727,-73.9757622,40.7762412
1740578227537988400,41.17098828125,8.930198669433594,0.22829784452915192,1.8186678886413574,5.698999881744385,1.5939604043960571,119.27273559570312,-4.100000381469727,-73.9757489,40.7762352
1740578227836356400,41.4693564453125,9.324056625366211,0.19578006863594055,1.8186678886413574,5.656000137329102,1.5976839065551758,117.82861328125,-4.100000381469727,-73.975746,40.7762349
1740578227941485300,41.5744853515625,9.126028060913086,0.18136893212795258,1.843102216720581,5.5960001945495605,1.5480109453201294,117.82926177978516,-4.100000381469727,-73.9757446,40.776233
1740578228518916600,42.15191650390625,9.2700834274292,0.23206056654453278,1.843102216720581,5.5370001792907715,1.5289688110351562,116.16824340820312,-4.100000381469727,-73.9757356,40.7762277
1740578228860644900,42.49364477539063,9.777024269104004,0.20142248272895813,1.843102216720581,5.460999965667725,1.5464645624160767,114.55362701416016,-4.100000381469727,-73.9757288,40.7762253
1740578228942005000,42.5750048828125,9.213313102722168,0.17992424964904785,1.8496055603027344,5.303999900817871,1.5106216669082642,114.39215850830078,-4.100000381469727,-73.9757268,40.7762232
1740578229565628400,43.19862841796875,9.61232852935791,0.22511084377765656,1.8496055603027344,5.311999797821045,1.4883787631988525,110.97125244140625,-4.100000381469727,-73.9757169,40.7762173
1740578229866941700,43.499941650390625,9.661737442016602,0.19802884757518768,1.8496055603027344,5.236000061035156,1.5148108005523682,108.25675964355469,-4.100000381469727,-73.9757114,40.7762147
1740578229941431800,43.57443188476562,7.170079231262207,0.185529887676239,1.8407777547836304,5.00600004196167,1.4964489936828613,108.35509490966797,-4.100000381469727,-73.9757067,40.7762102
1740578230581533700,44.21453369140625,9.000409126281738,0.2312120795249939,1.8407777547836304,4.883999824523926,1.4919025897979736,104.17239379882812,-4.100000381469727,-73.975693,40.7762015
1740578230901819100,44.53481909179688,8.692298889160156,0.21076856553554535,1.8407777547836304,4.764999866485596,1.4726536273956299,100.80391693115234,-4.100000381469727,-73.975686,40.7761981
1740578230941656300,44.57465625,8.398241996765137,0.1983855664730072,1.8472793102264404,4.645999908447266,1.4620274305343628,100.02193450927734,-4.100000381469727,-73.9756829,40.7761969
1740578231811463000,45.444462890625,9.191192626953125,0.2838727533817291,1.8472793102264404,4.550000190734863,1.4472154378890991,97.70893096923828,-4.100000381469727,-73.9756651,40.7761929
1740578231941431600,45.574431640625,7.352398872375488,0.20301832258701324,1.924770712852478,4.395999908447266,1.469465732574463,98.56231689453125,-4.100000381469727,-73.9756592,40.7761917
1740578232194200600,45.82720068359375,8.614156723022461,0.203969344496727,1.924770712852478,4.289000034332275,1.473129391670227,102.07110595703125,-4.100000381469727,-73.9756527,40.7761899
1740578232835652900,46.46865283203125,9.681475639343262,0.19881267845630646,1.924770712852478,4.201000213623047,1.5132148265838623,116.02284240722656,-4.100000381469727,-73.9756394,40.7761865
1740578232941215700,46.5742158203125,9.10582447052002,0.18432365357875824,1.904770851135254,4.068999767303467,1.4835304021835327,117.19735717773438,-4.100000381469727,-73.9756345,40.7761856
1740578233155465000,46.78846484375,8.772004127502441,0.1852828562259674,1.904770851135254,3.9600000381469727,1.4813624620437622,120.74886322021484,-4.100000381469727,-73.9756285,40.7761838
1740578233856556500,47.489556640625,9.253911018371582,0.19540348649024963,1.904770851135254,3.867000102996826,1.4996237754821777,129.16673278808594,-4.100000381469727,-73.975615,40.7761775
1740578233941960700,47.57496069335937,6.9833292961120605,0.18364158272743225,1.8757761716842651,3.734999895095825,1.4848706722259521,128.50416564941406,-4.100000381469727,-73.9756109,40.7761773
1740578234158956300,47.791956298828126,6.795811176300049,0.1833982765674591,1.8757761716842651,3.628999948501587,1.4876917600631714,129.431396484375,-4.100000381469727,-73.9756056,40.7761753
1740578234392815400,48.0258154296875,9.215322494506836,0.22661840915679932,1.8553366661071777,3.5899999141693115,1.4915921688079834,129.43531799316406,-4,-73.9755993,40.7761729
1740578234838332000,48.47133178710938,9.104874610900879,0.19034913182258606,1.8553366661071777,3.4830000400543213,1.5065417289733887,127.1351318359375,-4,-73.9755864,40.7761655
1740578234941621000,48.57462109375,7.369260787963867,0.17940782010555267,1.792336106300354,3.3389999866485596,1.5523444414138794,125.66413116455078,-4,-73.9755844,40.7761668
1740578235144252200,48.777252197265625,7.2138352394104,0.17938680946826935,1.792336106300354,3.318000078201294,1.5558723211288452,124.79117584228516,-4,-73.975581,40.776166
1740578235819431000,49.45243090820313,9.166605949401855,0.27305105328559875,1.792336106300354,3.2769999504089355,1.5570759773254395,123.07018280029297,-4,-73.9755691,40.7761607
1740578235941946000,49.57494604492187,7.001040458679199,0.17215852439403534,1.7993464469909668,3.188999891281128,1.5444633960723877,121.8973159790039,-4,-73.9755645,40.7761599
1740578236123544000,49.7565439453125,7.071371555328369,0.1721387505531311,1.7993464469909668,3.177000045776367,1.5437424182891846,123.06611633300781,-4,-73.9755599,40.7761586
1740578236801975000,50.43497509765625,8.870241165161133,0.26372507214546204,1.7993464469909668,3.174999952316284,1.5360496044158936,130.25694274902344,-4,-73.9755474,40.7761526
1740578236941933600,50.57493359375,7.165081024169922,0.17402860522270203,1.8058464527130127,3.134000062942505,1.5955681800842285,129.7012481689453,-4,-73.975543,40.7761505
1740578237125363000,50.758363037109376,8.755949974060059,0.17391864955425262,1.8058464527130127,3.125999927520752,1.5998815298080444,127.06620025634766,-4,-73.9755389,40.7761481
1740578237695957500,51.32895751953125,8.982612609863281,0.21810340881347656,1.8058464527130127,3.1080000400543213,1.6074917316436768,113.80441284179688,-4,-73.9755282,40.7761428
1740578237942000400,51.57500048828125,8.992860794067383,0.19200348854064941,1.8258109092712402,3.071000099182129,1.604097604751587,102.39772033691406,-4,-73.9755213,40.7761406
1740578238233875500,51.86687548828125,9.373398780822754,0.1921585202217102,1.8258109092712402,3.069999933242798,1.6002814769744873,87.33329772949219,-4,-73.9755143,40.7761394
1740578238753183700,52.38618383789063,9.263604164123535,0.23458625376224518,1.8258109092712402,3.065999984741211,1.5929499864578247,61.04035568237305,-4,-73.9755029,40.7761408
1740578238941852700,52.57485278320313,9.136383056640625,0.20817169547080994,1.8780417442321777,3.0450000762939453,1.5954879522323608,54.31342315673828,-2.2992300111296657,-73.9754986,40.7761405
1740578239884463600,53.51746362304687,11.493487358093262,0.1970081627368927,1.8780417442321777,3.0350000858306885,1.5287420749664307,36.20761489868164,-2.2992300111296657,-73.9754841,40.7761494
1740578239941798400,53.57479833984375,9.358388900756836,0.2227695882320404,1.8864384889602661,3.0350000858306885,1.5614742040634155,40.4688720703125,-4,-73.9754821,40.7761457
1740578240340669000,53.9736689453125,49.52762222290039,0.2183142602443695,1.8864384889602661,3.0350000858306885,1.719722032546997,64.02851867675781,-4,-73.9754753,40.7761463
1740578240941254400,54.57425439453125,12.071307182312012,0.2179882526397705,1.9481086730957031,3.010999917984009,1.4878672361373901,121.65643310546875,-4,-73.9754634,40.7761353
1740578240966383000,54.599383056640626,12.071307182312012,0.2179882526397705,1.9481086730957031,3.010999917984009,1.4990373849868774,122.77742767333984,-4,-73.9754628,40.7761317
1740578241488019700,55.12101977539062,13.071633338928223,0.27010801434516907,1.9481086730957031,3.0460000038146973,1.5265295505523682,119.00009155273438,-4,-73.9754542,40.7761254
1740578241941900300,55.574900390625,9.226147651672363,0.230393648147583,1.7739044427871704,3.0360000133514404,1.444246768951416,131.12838745117188,-4,-73.9754465,40.7761145
1740578241988581600,55.62158154296875,9.22595500946045,0.23103879392147064,1.7739044427871704,3.0360000133514404,1.4451967477798462,131.34597778320312,-4,-73.9754455,40.7761115
1740578242941683000,56.57468286132813,9.099251747131348,0.22523392736911774,1.859696388244629,3.0460000038146973,1.3047746419906616,128.75828552246094,-4,-73.9754313,40.7760968
1740578243166033700,56.79903369140625,8.966729164123535,0.22535660862922668,1.859696388244629,3.0460000038146973,1.3017665147781372,128.4807891845703,-4,-73.9754278,40.7760933
1740578243707265500,57.340265625,9.374646186828613,0.2790731191635132,1.859696388244629,3.0460000038146973,1.3116295337677002,128.5210723876953,-4,-73.9754203,40.7760881
1740578243941980200,57.57498022460938,9.782493591308594,0.19279229640960693,1.8661983013153076,3.0490000247955322,1.2644996643066406,130.1919708251953,-4,-73.9754162,40.7760843
1740578244273485800,57.90648583984375,9.819527626037598,0.1928054690361023,1.8661983013153076,3.0460000038146973,1.2634292840957642,132.35728454589844,-4,-73.9754114,40.7760803
1740578244312456700,57.94545678710937,9.724820137023926,0.1928054690361023,1.7826586961746216,3.0429999828338623,1.2634429931640625,133.520263671875,-4,-73.9754099,40.7760785
1740578244828972300,58.46197216796875,10.149076461791992,0.23999428749084473,1.7826586961746216,3.0429999828338623,1.2680628299713135,136.00006103515625,-4,-73.9753975,40.7760702
1740578244941324500,58.57432446289062,9.733789443969727,0.20556671917438507,1.7804319858551025,3.0409998893737793,1.246286392211914,135.96353149414062,-4,-73.9753984,40.7760709
1740578245334197500,58.967197509765626,9.613271713256836,0.2040776014328003,1.7804319858551025,3.0460000038146973,1.2424670457839966,136.17959594726562,-4,-73.9753946,40.7760679
1740578245876736800,59.50973681640625,9.700676918029785,0.16805529594421387,1.7804319858551025,3.066999912261963,1.2656365633010864,133.4062957763672,-4,-73.9753882,40.7760635
1740578245942067700,59.57506762695313,10.2611665725708,0.20082679390907288,1.8319406509399414,3.0929999351501465,1.2413610219955444,133.1103973388672,-4,-73.975387,40.7760628
1740578246417936000,60.050935791015625,10.460822105407715,0.24140478670597076,1.8319406509399414,3.13100004196167,1.229879379272461,132.49574279785156,-4,-73.9753805,40.776058
1740578246917568500,60.55056860351562,10.253265380859375,0.17201364040374756,1.8319406509399414,3.1419999599456787,1.2410165071487427,131.19412231445312,-4,-73.9753739,40.7760536
1740578246941690600,60.57469067382812,11.57460880279541,0.20609191060066223,1.8606690168380737,3.177000045776367,1.231522798538208,130.99302673339844,-4,-73.9753734,40.7760533
1740578247459593000,61.092593017578125,12.139273643493652,0.24489715695381165,1.8606690168380737,3.2639999389648438,1.232825517654419,132.6916046142578,-4,-73.9753659,40.7760472
