time,seconds_elapsed,magneticBearing
1740578186590878200,0.223878173828125,156.74461461499263
1740578186702837500,0.33583740234375,156.4446952552122
1740578186799087400,0.43208740234375,156.50143458629833
1740578186895337500,0.52833740234375,156.43964111517832
1740578186991587600,0.624587646484375,156.5528891254921
1740578187087837400,0.72083740234375,156.83523302970906
1740578187184087600,0.817087646484375,157.5341378733836
1740578187280337400,0.91333740234375,157.71184682455822
1740578187376587500,1.00958740234375,155.9860438798477
1740578187472837400,1.10583740234375,153.09559070596333
1740578187569087500,1.20208740234375,151.54186871261376
1740578187665337600,1.298337646484375,151.72946472123365
1740578187761587500,1.39458740234375,152.6404512452829
1740578187857837600,1.490837646484375,153.5709224586963
1740578187954087400,1.58708740234375,153.71411978619025
1740578188050337500,1.683337646484375,153.8181914906873
1740578188146587400,1.77958740234375,155.4328277184123
1740578188242837500,1.87583740234375,157.853363289896
1740578188339087400,1.97208740234375,159.388964316629
1740578188435337500,2.06833740234375,160.45513791600135
1740578188531587600,2.164587646484375,162.51065472020682
1740578188627837400,2.26083740234375,166.19568693489373
1740578188724087600,2.357087646484375,171.9415300059092
1740578188820337400,2.45333740234375,179.53155435344405
1740578188916587500,2.54958740234375,188.1251663052709
1740578189012837400,2.64583740234375,196.82875045297058
1740578189109087500,2.74208740234375,204.4213623770202
1740578189205337600,2.838337646484375,210.1529542836201
1740578189301587500,2.93458740234375,213.94963882218735
1740578189397837600,3.030837646484375,216.4856204674513
1740578189494087400,3.12708740234375,218.18195417176477
1740578189590337500,3.223337646484375,219.2598613961606
1740578189686587400,3.31958740234375,219.82366909835648
1740578189782837500,3.41583740234375,220.02011559990663
1740578189879087400,3.51208740234375,220.22637646233255
1740578189975337500,3.60833740234375,220.57327898807677
1740578190071587600,3.704587646484375,220.98762376174986
1740578190167837400,3.80083740234375,221.18254194135724
1740578190264087600,3.897087646484375,221.17585790427353
1740578190360337400,3.99333740234375,221.03757222673144
1740578190456587500,4.08958740234375,220.41163805879395
1740578190552837400,4.18583740234375,219.23713901964328
1740578190649087500,4.28208740234375,218.36457256370753
1740578190745337600,4.378337646484375,217.28889708466994
1740578190841587500,4.47458740234375,216.21737926875508
1740578190937837600,4.570837646484375,214.99507825614063
1740578191034087400,4.66708740234375,213.8701579231796
1740578191130337500,4.763337646484375,213.10920538007773
1740578191226587400,4.85958740234375,212.93511558947458
1740578191322837500,4.95583740234375,212.94954086359246
1740578191419087400,5.05208740234375,212.1782475220501
1740578191515337500,5.14833740234375,211.62767659199832
1740578191611587600,5.244587646484375,210.78911150221768
1740578191707837400,5.34083740234375,209.20054913837146
1740578191804087600,5.437087646484375,205.71933479222022
1740578191900337400,5.53333740234375,200.9508729170448
1740578191996587500,5.62958740234375,195.3401388571762
1740578192092837400,5.72583740234375,189.14235285916357
1740578192189087500,5.82208740234375,182.28792134114187
1740578192285337600,5.918337646484375,173.7469442882055
1740578192381587500,6.01458740234375,164.8429350638925
1740578192477837600,6.110837646484375,158.33163962318085
1740578192574087400,6.20708740234375,154.41588559011691
1740578192670337500,6.303337646484375,150.84597645231182
1740578192766587400,6.39958740234375,147.23111450480738
1740578192862837500,6.49583740234375,143.94590531197696
1740578192959087400,6.59208740234375,141.2263479112504
1740578193055337500,6.68833740234375,139.7399554210361
1740578193151587600,6.784587646484375,138.89282493786874
1740578193247837400,6.88083740234375,138.7109856997254
1740578193344087600,6.977087646484375,139.12035002214674
1740578193440337400,7.07333740234375,139.78126851646942
1740578193536587500,7.16958740234375,140.67405868603507
1740578193632837400,7.26583740234375,141.88394156039672
1740578193729087500,7.36208740234375,143.4635933836938
1740578193825337600,7.458337646484375,145.0817123616737
1740578193921587500,7.55458740234375,146.3598961863869
1740578194017837600,7.650837646484375,147.22763442166226
1740578194114087400,7.74708740234375,147.58818586010494
1740578194210337500,7.843337646484375,147.74590275242113
1740578194306587400,7.93958740234375,147.95507732214412
1740578194402837500,8.03583740234375,148.1211781987886
1740578194499087400,8.13208740234375,148.093085151948
1740578194595337500,8.22833740234375,148.0258401702704
1740578194691587600,8.324587646484375,147.86710579444377
1740578194787837400,8.42083740234375,147.8799730548236
1740578194884087600,8.517087646484375,148.00598852975457
1740578194980337400,8.61333740234375,148.1715147415311
1740578195076587500,8.70958740234375,148.35079104307988
1740578195172837400,8.80583740234375,148.5268531579555
1740578195269087500,8.90208740234375,148.62256487076013
1740578195365337600,8.998337646484375,148.59579746184087
1740578195461587500,9.09458740234375,148.89489625252756
1740578195557837600,9.190837646484376,149.77667899409477
1740578195654087400,9.28708740234375,151.45121259584346
1740578195750337500,9.383337646484375,153.51734795780277
1740578195846587400,9.47958740234375,156.020662641669
1740578195942837500,9.57583740234375,158.66277654709026
1740578196039087400,9.67208740234375,160.95953246928323
1740578196135337500,9.76833740234375,162.78618552243287
1740578196231587600,9.864587646484376,164.20740649298835
1740578196327837400,9.96083740234375,165.22525133640158
1740578196424087600,10.057087646484375,165.88746475412822
1740578196520337400,10.15333740234375,166.51407314334125
1740578196616587500,10.24958740234375,166.91614982165686
1740578196712837400,10.34583740234375,166.75555865153217
1740578196809087500,10.44208740234375,166.0373145964069
1740578196905337600,10.538337646484376,164.69011473358782
1740578197001587500,10.63458740234375,162.4210607938574
1740578197097837600,10.730837646484375,159.49976943996563
1740578197194087400,10.82708740234375,156.6368438627651
1740578197290337500,10.923337646484375,154.15561158102975
1740578197386587400,11.01958740234375,151.43119326605228
1740578197482837500,11.11583740234375,148.8696866668589
1740578197579087400,11.21208740234375,146.8415770162812
1740578197675337500,11.30833740234375,145.0812890883714
