time,seconds_elapsed,z,y,x
1740578186590878200,0.223878173828125,-46.837501525878906,-15.21250057220459,-6.537499904632568
1740578186702837500,0.33583740234375,-46.650001525878906,-15.225000381469727,-6.637500286102295
1740578186799087400,0.43208740234375,-46.70000076293945,-15.237500190734863,-6.625
1740578186895337500,0.52833740234375,-46.67499923706055,-15.25,-6.650000095367432
1740578186991587600,0.624587646484375,-46.712501525878906,-15.27500057220459,-6.625
1740578187087837400,0.72083740234375,-46.72500228881836,-15.33750057220459,-6.5625
1740578187184087600,0.817087646484375,-46.712501525878906,-15.537500381469727,-6.425000190734863
1740578187280337400,0.91333740234375,-46.61249923706055,-15.675000190734863,-6.425000190734863
1740578187376587500,1.00958740234375,-46.57500076293945,-15.487500190734863,-6.900000095367432
1740578187472837400,1.10583740234375,-46.53750228881836,-15.15000057220459,-7.6875
1740578187569087500,1.20208740234375,-46.42499923706055,-15.175000190734863,-8.225000381469727
1740578187665337600,1.298337646484375,-46.28750228881836,-15.550000190734863,-8.362500190734863
1740578187761587500,1.39458740234375,-46.17499923706055,-16.11250114440918,-8.33750057220459
1740578187857837600,1.490837646484375,-45.95000076293945,-16.875,-8.387499809265137
1740578187954087400,1.58708740234375,-45.775001525878906,-17.48750114440918,-8.637499809265137
1740578188050337500,1.683337646484375,-45.775001525878906,-18,-8.850000381469727
1740578188146587400,1.77958740234375,-45.75,-18.8125,-8.600000381469727
1740578188242837500,1.87583740234375,-45.86249923706055,-19.625,-7.987500190734863
1740578188339087400,1.97208740234375,-46.07500076293945,-19.975000381469727,-7.512500286102295
1740578188435337500,2.06833740234375,-46.35000228881836,-20,-7.099999904632568
1740578188531587600,2.164587646484375,-46.57500076293945,-19.875,-6.262500286102295
1740578188627837400,2.26083740234375,-46.8125,-19.637500762939453,-4.825000286102295
1740578188724087600,2.357087646484375,-46.875,-19.600000381469727,-2.7750000953674316
1740578188820337400,2.45333740234375,-46.5625,-19.875,-0.16250000894069672
1740578188916587500,2.54958740234375,-45.97500228881836,-20.3125,2.9000000953674316
1740578189012837400,2.64583740234375,-45.25,-20.787500381469727,6.287499904632568
1740578189109087500,2.74208740234375,-44.212501525878906,-21.5,9.762499809265137
1740578189205337600,2.838337646484375,-42.79999923706055,-22.399999618530273,13.012499809265137
1740578189301587500,2.93458740234375,-41.03750228881836,-23.48750114440918,15.8125
1740578189397837600,3.030837646484375,-39.11249923706055,-24.575000762939453,18.17500114440918
1740578189494087400,3.12708740234375,-37.17499923706055,-25.575000762939453,20.11250114440918
1740578189590337500,3.223337646484375,-35.462501525878906,-26.412500381469727,21.587499618530273
1740578189686587400,3.31958740234375,-33.76250076293945,-27.23750114440918,22.712499618530273
1740578189782837500,3.41583740234375,-31.9375,-28.149999618530273,23.637500762939453
1740578189879087400,3.51208740234375,-30.162500381469727,-28.950000762939453,24.48750114440918
1740578189975337500,3.60833740234375,-28.80000114440918,-29.48750114440918,25.25
